[2024-07-24 12:31:17,579: INFO: main: Custom log]
[2024-07-25 15:23:53,657: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 15:23:53,659: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 15:23:53,661: INFO: common: created directory at: artifacts]
[2024-07-25 15:23:53,662: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-25 15:23:53,663: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1YuhJqIpbJprb7PZJ6AdRdY7ZbJEpUXL3/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-25 15:47:33,138: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1YuhJqIpbJprb7PZJ6AdRdY7ZbJEpUXL3/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-25 16:01:16,501: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-25 16:01:16,527: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 16:01:16,541: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 16:01:16,542: INFO: common: created directory at: artifacts]
[2024-07-25 16:01:16,542: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-25 16:01:16,543: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YuhJqIpbJprb7PZJ6AdRdY7ZbJEpUXL3/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-25 19:13:32,123: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 19:13:32,310: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 19:13:32,611: INFO: common: created directory at: artifacts]
[2024-07-25 19:13:32,642: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-25 19:14:38,231: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 19:14:38,234: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 19:14:38,236: INFO: common: created directory at: artifacts]
[2024-07-25 19:14:38,237: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-25 19:15:10,955: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 19:15:10,958: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 19:15:10,959: INFO: common: created directory at: artifacts]
[2024-07-25 19:15:10,961: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-25 19:15:38,949: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 19:15:38,953: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 19:15:38,954: INFO: common: created directory at: artifacts]
[2024-07-25 19:15:38,955: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-25 19:16:01,065: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 19:16:01,068: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 19:16:01,070: INFO: common: created directory at: artifacts]
[2024-07-25 19:16:01,071: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-25 19:19:37,750: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 19:19:37,753: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 19:19:37,754: INFO: common: created directory at: artifacts]
[2024-07-25 19:19:37,755: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-25 19:20:16,504: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-07-25 19:35:55,199: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-25 19:35:55,236: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 19:35:55,238: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 19:35:55,239: INFO: common: created directory at: artifacts]
[2024-07-25 19:35:55,240: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-25 19:35:55,240: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YuhJqIpbJprb7PZJ6AdRdY7ZbJEpUXL3/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-25 19:36:30,433: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-25 19:36:30,436: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 19:36:30,438: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 19:36:30,497: INFO: common: created directory at: artifacts]
[2024-07-25 19:36:30,498: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-25 19:36:30,499: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YuhJqIpbJprb7PZJ6AdRdY7ZbJEpUXL3/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-25 19:41:40,269: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1YuhJqIpbJprb7PZJ6AdRdY7ZbJEpUXL3/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-25 19:42:50,714: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-07-25 19:42:50,715: INFO: main: *******************]
[2024-07-25 19:42:50,715: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-07-25 19:42:50,718: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 19:42:50,722: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 19:42:50,723: INFO: common: created directory at: artifacts]
[2024-07-25 19:42:50,724: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-25 19:42:57,964: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-07-25 19:42:58,494: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-07-25 21:33:21,990: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 21:33:22,060: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 21:33:22,254: INFO: common: created directory at: artifacts]
[2024-07-25 21:33:22,256: INFO: common: created directory at: artifacts\training]
[2024-07-25 21:33:33,806: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 21:33:33,809: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-25 21:33:33,811: INFO: common: created directory at: artifacts]
[2024-07-25 21:33:33,813: INFO: common: created directory at: artifacts\training]
[2024-07-25 21:36:19,085: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-25 21:36:19,088: INFO: common: yaml file: params.yaml loaded successfully]
